x,y,label
-0.5,1.9393939393939394,alpha
3.5,1.9090909090909092,beta
-0.5,1.3333333333333335,alpha
-0.5,0.48484848484848486,alpha
-0.5,1.2121212121212122,alpha
-0.5,1.4848484848484849,alpha
3.5,0.6060606060606061,beta
-0.5,0.15151515151515152,alpha
-0.5,2.2424242424242427,alpha
3.5,2.0303030303030303,beta
3.5,2.9393939393939394,beta
-0.5,0.18181818181818182,alpha
-0.5,2.1818181818181817,alpha
-0.5,0.6666666666666667,alpha
3.5,2.787878787878788,beta
3.5,1.7272727272727273,beta
-0.5,1.303030303030303,alpha
-0.5,2.393939393939394,alpha
3.5,1.0606060606060606,beta
3.5,0.5757575757575758,beta
-0.5,2.0,alpha
3.5,2.909090909090909,beta
3.0,2.333333333333333,beta
3.5,2.2424242424242427,beta
0.0,1.3333333333333333,alpha
-0.5,0.7575757575757576,alpha
3.0,0.0,beta
3.5,0.8787878787878788,beta
-0.5,0.7272727272727273,alpha
-0.5,0.21212121212121213,alpha
3.5,2.4242424242424243,beta
-0.5,2.6969696969696972,alpha
3.0,2.0,beta
3.5,0.5151515151515151,beta
3.5,1.5757575757575757,beta
-0.5,0.24242424242424243,alpha
3.5,0.7575757575757576,beta
-0.5,1.393939393939394,alpha
3.5,2.9696969696969697,beta
3.5,1.0303030303030303,beta
0.0,2.0,alpha
3.5,0.030303030303030304,beta
0.0,1.0,alpha
3.5,0.21212121212121213,beta
3.5,0.4545454545454546,beta
-0.5,2.8181818181818183,alpha
-0.5,2.8484848484848486,alpha
3.5,1.1212121212121213,beta
0.0,2.333333333333333,alpha
-0.5,0.9696969696969697,alpha
0.0,2.6666666666666665,alpha
-0.5,2.2121212121212124,alpha
3.5,0.7272727272727273,beta
3.5,0.5454545454545454,beta
-0.5,1.5757575757575757,alpha
3.5,0.24242424242424243,beta
3.5,0.09090909090909091,beta
3.5,0.9696969696969697,beta
3.0,1.0,beta
3.5,2.0606060606060606,beta
3.5,1.2727272727272727,beta
3.5,2.515151515151515,beta
-0.5,1.8181818181818183,alpha
3.5,1.6666666666666667,beta
3.0,2.6666666666666665,beta
3.0,1.3333333333333333,beta
-0.5,2.9393939393939394,alpha
-0.5,2.6363636363636362,alpha
3.5,1.2424242424242424,beta
3.5,1.5454545454545454,beta
3.5,1.0909090909090908,beta
3.5,2.1515151515151514,beta
0.0,0.3333333333333333,alpha
3.5,1.3636363636363638,beta
3.5,2.090909090909091,beta
-0.5,1.0909090909090908,alpha
3.5,2.6969696969696972,beta
0.0,0.0,alpha
